5d Bonzai Adventure,Sos 5d,9:00pm 220 Rs|,280,yes,yes
Satyam Cineplexes,Khiladi 786,4:45pm 240 Rs|,280,yes,yes
Big Cinemas,Khiladi 786,6:15pm 240 Rs|,180,yes,yes
Dt Star Cinemas,Khiladi 786,10:25am 240 Rs|6:00pm 160 Rs|,280,yes,yes
Wave,Khiladi 786,2:00pm 190 Rs|,210,yes,yes
Amba Cinema,Khiladi 786,12:00 180 Rs|6:30pm 160 Rs|,140,yes,yes
Delite Cinema,Khiladi 786,12:30 220 Rs|3:30pm 240 Rs|6:30pm 160 Rs|9:30pm 170 Rs|,180,yes,yes
Pvr Gurgaon Mainstream - Gurgaon,Khiladi 786,3:40pm 180 Rs|,140,yes,yes
Pvr Saket - Delhi,Khiladi 786,10:00am 240 Rs|,180,yes,yes
Satyam Cineplexes,Khiladi 786,10:45am 240 Rs|,180,yes,yes
G3s Cinema,Khiladi 786,11:15am 210 Rs|,140,yes,yes
Movietime,Khiladi 786,9:30am 160 Rs|12:35pm 160 Rs|8:05pm 240 Rs|,280,yes,yes
Liberty Cinema,Khiladi 786,12:00am 230 Rs|3:15am 180 Rs|6:30am 180 Rs|9:30pmam 200 Rs|12:00am 190 Rs|,140,yes,yes
Dt City Centre,Khiladi 786,12:55pm 230 Rs|,140,yes,yes
Movietime,Khiladi 786,9:45am 240 Rs|,210,yes,yes
Pvr Ambience - Premiere,Khiladi 786,12:40pm 160 Rs|,210,yes,yes
Dt Star Cinemas,Khiladi 786,5:20 230 Rs|10:50pm 170 Rs|,210,yes,yes
Satyam Cineplexes,Rise Of The Guardians,11:30am 160 Rs|6:35pm 180 Rs|,210,yes,yes
Big Cinemas,Rise Of The Guardians,1:35pm 230 Rs|,140,yes,yes
Dt Star Cinemas,Rise Of The Guardians,10:15am 190 Rs|1:10pm 200 Rs|6:15pm 240 Rs|8:45pm 210 Rs|,210,yes,yes
Wave,Rise Of The Guardians,10:20am 230 Rs|6:00pm 230 Rs|,210,yes,yes
Pvr Select Citywalk - Gold,Rise Of The Guardians,10:00am 150 Rs|,180,yes,yes
Pvr Select Citywalk - Primere,Rise Of The Guardians,4:30 220 Rs|9:00pm 180 Rs|,210,yes,yes
Cinemax Pacific Mall,Rise Of The Guardians,9:15am 190 Rs|2:45pm 230 Rs|7:30pm 190 Rs|,280,yes,yes
Pvr Saket - Delhi,Rise Of The Guardians,12:45 200 Rs|5:30pm 210 Rs|,140,yes,yes
Pvr Gurgaon Mainstream - Gurgaon,Rise Of The Guardians,10:30am 220 Rs|6:15pm 150 Rs|,280,yes,yes
