East Delhi,West Delhi,South Delhi,North Delhi,Central Delhi,Ghaziabad,Noida,Gurgaon
Fun Cinemas V3S Mall,Cinemax Pacific Mall,PVR Priya,Fun Cinemas Pitampura,Big Cinemas CP,Big Cinemas Pacifc Mall,Big Cinemas TGIP,Big Cinemas Palam Vihar
Fun Cinemas Cross River,Wave Raja Garden,PVR Saket,M2K Rohini,PVR Plaza,PVR EDM,Wave Noida,DT City Center
Wave Kaushambi,Satyam Janak Puri,PVR Select City Walk ,Batra Cinema,Liberty Cinema,SRS Indirapuram,Spice Cinemas Noida,PVR Gurgaon
Gagan Cinema,M2K Rohini,Satyam Nehru Place,Amba Cinema,Shiela Cinema,Fun Cinemas Vaishali,,PVR Ambience Mall
Delite Cinema,Vishal Cinema,Glitz Cinema,PVR Prasahant Vihar,Satyam Patel Nagar,Galaxie Multiplex,,DT Star Mall
Big Cinemas TGIP,Samrat Cinema,Sapna Cinema,,Abhishek Cineplex,Jam Multiplex Shipra Mall,,SRS Omaxe Mall
Wave Noida,M2K Pitampura,3Cs Lajpat Nagar,,Eros One,,,DT Mega Mall
Spice Cinemas Noida,Fun Cinemas Moti Nagar,DT Cinemas Vasant Kunj,,,,,
Big Cinemas Pacifc Mall,PVR Prashant Vihar,DT Cinemas Saket,,,,,
PVR EDM,Fun Cinemas Pitampura,Seble Cinema,,,,,
